Front,Back,Tags
"每天<br><span style=""font-size:0.55em;color:#666"">měitiān</span>",every day<br><br>你每天几点起床？<br>Nǐ měitiān jǐ diǎn qǐchuáng?<br>What time do you get up every day?,"type::noun lesson::lesson9 frequency::high topic::time,habits hsk::1"
"起床<br><span style=""font-size:0.55em;color:#666"">qǐchuáng</span>",get up<br><br>你每天几点起床？<br>Nǐ měitiān jǐ diǎn qǐchuáng?<br>What time do you get up every day?,type::verb lesson::lesson9 frequency::high topic::daily_routine hsk::1 grammar::separable
"半<br><span style=""font-size:0.55em;color:#666"">bàn</span>",half<br><br>我七点半起床。<br>Wǒ qī diǎn bàn qǐchuáng.<br>I get up at 7:30.,type::number lesson::lesson9 frequency::high topic::time hsk::1
"晚上<br><span style=""font-size:0.55em;color:#666"">wǎnshang</span>",evening; night<br><br>晚上我喜欢看书。<br>Wǎnshang wǒ xǐhuan kàn shū.<br>I like reading in the evening.,type::noun lesson::lesson9 frequency::high topic::time hsk::1
"睡觉<br><span style=""font-size:0.55em;color:#666"">shuìjiào</span>",sleep; go to bed<br><br>我晚上十点睡觉。<br>Wǒ wǎnshang shí diǎn shuìjiào.<br>I go to bed at 10pm.,type::verb lesson::lesson9 frequency::high topic::daily_routine hsk::1 grammar::separable
"以前<br><span style=""font-size:0.55em;color:#666"">yǐqián</span>",before<br><br>睡觉以前我洗澡。<br>Shuìjiào yǐqián wǒ xǐzǎo.<br>Before going to bed I take a bath.,type::noun lesson::lesson9 frequency::high topic::time hsk::2
"先<br><span style=""font-size:0.55em;color:#666"">xiān</span>","first<br><br>我先吃早饭，然后上学。<br>Wǒ xiān chī zǎofàn, ránhòu shàngxué.<br>I eat breakfast first, then go to school.",type::adverb lesson::lesson9 frequency::high topic::sequence hsk::2
"早饭<br><span style=""font-size:0.55em;color:#666"">zǎofàn</span>",breakfast<br><br>我先吃早饭。<br>Wǒ xiān chī zǎofàn.<br>I eat breakfast first.,"type::noun lesson::lesson9 frequency::high topic::food,daily_routine hsk::1"
"然后<br><span style=""font-size:0.55em;color:#666"">ránhòu</span>","then; after that<br><br>我先吃早饭，然后上学。<br>Wǒ xiān chī zǎofàn, ránhòu shàngxué.<br>I eat breakfast first, then go to school.",type::conjunction lesson::lesson9 frequency::high topic::sequence hsk::2
"上学<br><span style=""font-size:0.55em;color:#666"">shàngxué</span>","go to school<br><br>我先吃早饭，然后上学。<br>Wǒ xiān chī zǎofàn, ránhòu shàngxué.<br>I eat breakfast first, then go to school.","type::verb lesson::lesson9 frequency::high topic::school,daily_routine hsk::1 grammar::separable"
"时候<br><span style=""font-size:0.55em;color:#666"">shíhou</span>",time; moment<br><br>你什么时候上课？<br>Nǐ shénme shíhou shàngkè?<br>When do you have class?,type::noun lesson::lesson9 frequency::high topic::time hsk::1
"下课<br><span style=""font-size:0.55em;color:#666"">xiàkè</span>",dismiss a class<br><br>我们下午三点下课。<br>Wǒmen xiàwǔ sān diǎn xiàkè.<br>Our class ends at 3pm.,type::verb lesson::lesson9 frequency::high topic::school hsk::1 grammar::separable
"洗澡<br><span style=""font-size:0.55em;color:#666"">xǐzǎo</span>",take a bath<br><br>睡觉以前我洗澡。<br>Shuìjiào yǐqián wǒ xǐzǎo.<br>Before going to bed I take a bath.,type::verb lesson::lesson9 frequency::high topic::daily_routine hsk::2
"音乐<br><span style=""font-size:0.55em;color:#666"">yīnyuè</span>",music<br><br>我喜欢听音乐。<br>Wǒ xǐhuan tīng yīnyuè.<br>I like listening to music.,type::noun lesson::lesson9 frequency::high topic::hobbies hsk::1
"玩<br><span style=""font-size:0.55em;color:#666"">wán</span>",play<br><br>我喜欢玩电脑。<br>Wǒ xǐhuan wán diànnǎo.<br>I like playing on the computer.,type::verb lesson::lesson9 frequency::high topic::activities hsk::1
"电脑<br><span style=""font-size:0.55em;color:#666"">diànnǎo</span>",computer<br><br>我喜欢玩电脑。<br>Wǒ xǐhuan wán diànnǎo.<br>I like playing on the computer.,type::noun lesson::lesson9 frequency::high topic::electronics hsk::1
"上课<br><span style=""font-size:0.55em;color:#666"">shàngkè</span>",go to class; attend a class<br><br>我上午九点上课。<br>Wǒ shàngwǔ jiǔ diǎn shàngkè.<br>I go to class at 9am.,type::verb lesson::lesson9 frequency::high topic::school hsk::1 grammar::separable
"午饭<br><span style=""font-size:0.55em;color:#666"">wǔfàn</span>",lunch<br><br>我十二点吃午饭。<br>Wǒ shí'èr diǎn chī wǔfàn.<br>I eat lunch at noon.,"type::noun lesson::lesson9 frequency::high topic::food,daily_routine hsk::1"
"分<br><span style=""font-size:0.55em;color:#666"">fēn</span>",minute<br><br>现在九点十五分。<br>Xiànzài jiǔ diǎn shíwǔ fēn.<br>It's now 9:15.,type::measure lesson::lesson9 frequency::high topic::time hsk::1
"放学<br><span style=""font-size:0.55em;color:#666"">fàngxué</span>",dismiss school<br><br>我们下午四点放学。<br>Wǒmen xiàwǔ sì diǎn fàngxué.<br>We finish school at 4pm.,type::verb lesson::lesson9 frequency::high topic::school hsk::2 grammar::separable
"打扫<br><span style=""font-size:0.55em;color:#666"">dǎsǎo</span>",sweep; clean<br><br>我打扫我的房间。<br>Wǒ dǎsǎo wǒ de fángjiān.<br>I clean my room.,type::verb lesson::lesson9 frequency::high topic::chores hsk::2
"房间<br><span style=""font-size:0.55em;color:#666"">fángjiān</span>",room<br><br>我打扫我的房间。<br>Wǒ dǎsǎo wǒ de fángjiān.<br>I clean my room.,type::noun lesson::lesson9 frequency::high topic::home hsk::1
"做饭<br><span style=""font-size:0.55em;color:#666"">zuò fàn</span>",cook<br><br>妈妈在做饭。<br>Māma zài zuò fàn.<br>Mom is cooking.,"type::verb_phrase lesson::lesson9 frequency::high topic::food,chores hsk::1"
"作业<br><span style=""font-size:0.55em;color:#666"">zuòyè</span>",homework<br><br>你写作业了吗？<br>Nǐ xiě zuòyè le ma?<br>Have you done your homework?,type::noun lesson::lesson9 frequency::high topic::school hsk::1
"季节<br><span style=""font-size:0.55em;color:#666"">jìjié</span>","season<br><br>在中国，一年有几个季节？<br>Zài Zhōngguó, yī nián yǒu jǐ ge jìjié?<br>In China, how many seasons are there in a year?",type::noun lesson::lesson10 frequency::high topic::weather hsk::2
"春天<br><span style=""font-size:0.55em;color:#666"">chūntiān</span>",spring<br><br>三月到五月是春天。<br>Sānyuè dào wǔyuè shì chūntiān.<br>March to May is spring.,type::noun lesson::lesson10 frequency::high topic::seasons hsk::1
"夏天<br><span style=""font-size:0.55em;color:#666"">xiàtiān</span>",summer<br><br>你喜欢夏天还是冬天？<br>Nǐ xǐhuan xiàtiān háishi dōngtiān?<br>Do you like summer or winter?,type::noun lesson::lesson10 frequency::high topic::seasons hsk::1
"秋天<br><span style=""font-size:0.55em;color:#666"">qiūtiān</span>",autumn<br><br>秋天树叶变黄了。<br>Qiūtiān shùyè biàn huáng le.<br>Leaves turn yellow in autumn.,type::noun lesson::lesson10 frequency::high topic::seasons hsk::1
"冬天<br><span style=""font-size:0.55em;color:#666"">dōngtiān</span>",winter<br><br>冬天很冷。<br>Dōngtiān hěn lěng.<br>Winter is very cold.,type::noun lesson::lesson10 frequency::high topic::seasons hsk::1
"到<br><span style=""font-size:0.55em;color:#666"">dào</span>",get to<br><br>三月到五月是春天。<br>Sānyuè dào wǔyuè shì chūntiān.<br>March to May is spring.,type::verb lesson::lesson10 frequency::high topic::movement hsk::1
"气候<br><span style=""font-size:0.55em;color:#666"">qìhòu</span>",climate<br><br>武汉的气候怎么样？<br>Wǔhàn de qìhòu zěnmeyàng?<br>What's the climate like in Wuhan?,type::noun lesson::lesson10 frequency::high topic::weather hsk::3
"怎么样<br><span style=""font-size:0.55em;color:#666"">zěnmeyàng</span>",how<br><br>武汉的气候怎么样？<br>Wǔhàn de qìhòu zěnmeyàng?<br>What's the climate like in Wuhan?,type::pronoun lesson::lesson10 frequency::high topic::questions hsk::1 grammar::question_word
"暖和<br><span style=""font-size:0.55em;color:#666"">nuǎnhuo</span>",nice and warm<br><br>春天很暖和。<br>Chūntiān hěn nuǎnhuo.<br>Spring is nice and warm.,type::adjective lesson::lesson10 frequency::high topic::weather hsk::2
"喜欢<br><span style=""font-size:0.55em;color:#666"">xǐhuan</span>",like<br><br>你喜欢夏天还是冬天？<br>Nǐ xǐhuan xiàtiān háishi dōngtiān?<br>Do you like summer or winter?,type::verb lesson::lesson10 frequency::high topic::preferences hsk::1
"还是<br><span style=""font-size:0.55em;color:#666"">háishi</span>",or<br><br>你喜欢夏天还是冬天？<br>Nǐ xǐhuan xiàtiān háishi dōngtiān?<br>Do you like summer or winter?,type::conjunction lesson::lesson10 frequency::high topic::grammar hsk::1
"为什么<br><span style=""font-size:0.55em;color:#666"">wèishénme</span>",why<br><br>你为什么喜欢秋天？<br>Nǐ wèishénme xǐhuan qiūtiān?<br>Why do you like autumn?,type::pronoun lesson::lesson10 frequency::high topic::questions hsk::1 grammar::question_word
"因为<br><span style=""font-size:0.55em;color:#666"">yīnwèi</span>","because<br><br>因为秋天很凉爽，所以我喜欢秋天。<br>Yīnwèi qiūtiān hěn liángshuǎng, suǒyǐ wǒ xǐhuan qiūtiān.<br>Because autumn is nice and cool, I like autumn.",type::conjunction lesson::lesson10 frequency::high topic::grammar hsk::2
"可以<br><span style=""font-size:0.55em;color:#666"">kěyǐ</span>",can<br><br>春天可以去春游。<br>Chūntiān kěyǐ qù chūnyóu.<br>In spring you can go on a spring outing.,type::verb lesson::lesson10 frequency::high topic::permission hsk::1 grammar::modal_verb
"跟<br><span style=""font-size:0.55em;color:#666"">gēn</span>",with<br><br>我跟朋友一起春游。<br>Wǒ gēn péngyou yìqǐ chūnyóu.<br>I go on a spring outing with friends.,type::preposition lesson::lesson10 frequency::high topic::grammar hsk::2
"一起<br><span style=""font-size:0.55em;color:#666"">yìqǐ</span>",together<br><br>我们一起去春游吧。<br>Wǒmen yìqǐ qù chūnyóu ba.<br>Let's go on a spring outing together.,type::adverb lesson::lesson10 frequency::high topic::social hsk::1
"春游<br><span style=""font-size:0.55em;color:#666"">chūnyóu</span>",go on a spring outing<br><br>我们一起去春游吧。<br>Wǒmen yìqǐ qù chūnyóu ba.<br>Let's go on a spring outing together.,type::verb lesson::lesson10 frequency::medium topic::activities
"太<br><span style=""font-size:0.55em;color:#666"">tài</span>",excessively; too<br><br>夏天太热了。<br>Xiàtiān tài rè le.<br>Summer is too hot.,type::adverb lesson::lesson10 frequency::high topic::grammar hsk::1
"冷<br><span style=""font-size:0.55em;color:#666"">lěng</span>",cold<br><br>冬天很冷。<br>Dōngtiān hěn lěng.<br>Winter is very cold.,type::adjective lesson::lesson10 frequency::high topic::weather hsk::1
"最<br><span style=""font-size:0.55em;color:#666"">zuì</span>",most<br><br>我最喜欢秋天。<br>Wǒ zuì xǐhuan qiūtiān.<br>I like autumn the most.,type::adverb lesson::lesson10 frequency::high topic::grammar hsk::1
"热<br><span style=""font-size:0.55em;color:#666"">rè</span>",hot<br><br>夏天很热。<br>Xiàtiān hěn rè.<br>Summer is very hot.,type::adjective lesson::lesson10 frequency::high topic::weather hsk::1
"凉爽<br><span style=""font-size:0.55em;color:#666"">liángshuǎng</span>",nice and cool<br><br>秋天很凉爽。<br>Qiūtiān hěn liángshuǎng.<br>Autumn is nice and cool.,type::adjective lesson::lesson10 frequency::medium topic::weather hsk::3
"花<br><span style=""font-size:0.55em;color:#666"">huā</span>",flower<br><br>春天花开了。<br>Chūntiān huā kāi le.<br>Flowers bloom in spring.,type::noun lesson::lesson10 frequency::high topic::nature hsk::1
"开<br><span style=""font-size:0.55em;color:#666"">kāi</span>",open out<br><br>春天花开了。<br>Chūntiān huā kāi le.<br>Flowers bloom in spring.,type::verb lesson::lesson10 frequency::high topic::actions hsk::1
"又……又……<br><span style=""font-size:0.55em;color:#666"">yòu…yòu…</span>",both...and...; not only...but also...<br><br>夏天又热又潮湿。<br>Xiàtiān yòu rè yòu cháoshī.<br>Summer is both hot and humid.,type::conjunction lesson::lesson10 frequency::high topic::grammar hsk::2
"舒服<br><span style=""font-size:0.55em;color:#666"">shūfu</span>",comfortable<br><br>春天的天气很舒服。<br>Chūntiān de tiānqì hěn shūfu.<br>The weather in spring is very comfortable.,type::adjective lesson::lesson10 frequency::high topic::feelings hsk::1
"开心<br><span style=""font-size:0.55em;color:#666"">kāixīn</span>",happy<br><br>春游让我很开心。<br>Chūnyóu ràng wǒ hěn kāixīn.<br>The spring outing made me very happy.,type::adjective lesson::lesson10 frequency::high topic::feelings hsk::1
"天气<br><span style=""font-size:0.55em;color:#666"">tiānqì</span>","weather<br><br>今天天气很好，不冷不热。<br>Jīntiān tiānqì hěn hǎo, bù lěng bú rè.<br>Nice weather today, not cold, not hot.",type::noun lesson::lesson11 frequency::high topic::weather hsk::1
"预报<br><span style=""font-size:0.55em;color:#666"">yùbào</span>",forecast<br><br>天气预报说今天晴天。<br>Tiānqì yùbào shuō jīntiān qíngtiān.<br>The weather forecast says sunny today.,type::noun lesson::lesson11 frequency::high topic::weather hsk::2
"晴天<br><span style=""font-size:0.55em;color:#666"">qíngtiān</span>",sunny day<br><br>天气预报说今天晴天。<br>Tiānqì yùbào shuō jīntiān qíngtiān.<br>The forecast says sunny today.,type::noun lesson::lesson11 frequency::high topic::weather hsk::2
"下雨<br><span style=""font-size:0.55em;color:#666"">xià yǔ</span>",rain<br><br>今天会下雨。<br>Jīntiān huì xià yǔ.<br>It will rain today.,type::verb_phrase lesson::lesson11 frequency::high topic::weather hsk::1 grammar::separable
"了<br><span style=""font-size:0.55em;color:#666"">le</span>",[used at the end of a sentence to indicate a change of situation or state]<br><br>下雨了。<br>Xià yǔ le.<br>It's raining now (change).,type::particle lesson::lesson11 frequency::high topic::grammar hsk::1 grammar::aspect_particle
"还<br><span style=""font-size:0.55em;color:#666"">hái</span>",still; even<br><br>他还没来。<br>Tā hái méi lái.<br>He still hasn't come.,type::adverb lesson::lesson11 frequency::high topic::grammar hsk::1
"出去<br><span style=""font-size:0.55em;color:#666"">chūqù</span>",go out<br><br>我要出去买东西。<br>Wǒ yào chūqù mǎi dōngxi.<br>I'm going out to buy things.,type::verb lesson::lesson11 frequency::high topic::actions hsk::1 grammar::directional_complement
"度<br><span style=""font-size:0.55em;color:#666"">dù</span>","degree [unit of measurement for angles, temperature, latitude or longitude]<br><br>今天三十度。<br>Jīntiān sānshí dù.<br>Today is 30 degrees.","type::measure lesson::lesson11 frequency::high topic::weather,measurement hsk::2"
"高<br><span style=""font-size:0.55em;color:#666"">gāo</span>",high<br><br>温度很高。<br>Wēndù hěn gāo.<br>The temperature is high.,type::adjective lesson::lesson11 frequency::high topic::description hsk::1
"温度<br><span style=""font-size:0.55em;color:#666"">wēndù</span>",temperature<br><br>室内温度正好。<br>Shìnèi wēndù zhènghǎo.<br>The indoor temperature is just right.,type::noun lesson::lesson11 frequency::high topic::weather hsk::2
"低<br><span style=""font-size:0.55em;color:#666"">dī</span>",low<br><br>气温很低。<br>Qìwēn hěn dī.<br>The temperature is very low.,type::adjective lesson::lesson11 frequency::high topic::description hsk::1
"零下<br><span style=""font-size:0.55em;color:#666"">língxià</span>",below zero<br><br>冬天零下十度。<br>Dōngtiān língxià shí dù.<br>In winter it's minus ten degrees.,type::noun lesson::lesson11 frequency::medium topic::weather hsk::2
"会<br><span style=""font-size:0.55em;color:#666"">huì</span>",be likely to<br><br>明天会下雨。<br>Míngtiān huì xià yǔ.<br>It will likely rain tomorrow.,type::verb lesson::lesson11 frequency::high topic::grammar hsk::1 grammar::modal_verb
"下雪<br><span style=""font-size:0.55em;color:#666"">xià xuě</span>",snow<br><br>北方冬天经常下雪。<br>Běifāng dōngtiān jīngcháng xià xuě.<br>Northern winters often have snow.,type::verb_phrase lesson::lesson11 frequency::medium topic::weather hsk::1 grammar::separable
"游泳<br><span style=""font-size:0.55em;color:#666"">yóuyǒng</span>",swim<br><br>我喜欢游泳。<br>Wǒ xǐhuan yóuyǒng.<br>I like swimming.,type::verb lesson::lesson11 frequency::high topic::sports hsk::1
"能<br><span style=""font-size:0.55em;color:#666"">néng</span>",can<br><br>我能试试吗？<br>Wǒ néng shìshi ma?<br>Can I try?,type::verb lesson::lesson11 frequency::high topic::grammar hsk::1 grammar::modal_verb
"阳光<br><span style=""font-size:0.55em;color:#666"">yángguāng</span>",sunshine<br><br>今天阳光很好。<br>Jīntiān yángguāng hěn hǎo.<br>The sunshine is nice today.,type::noun lesson::lesson11 frequency::high topic::weather hsk::2
"约<br><span style=""font-size:0.55em;color:#666"">yuē</span>",make an appointment; arrange<br><br>我们约个时间见面吧。<br>Wǒmen yuē ge shíjiān jiànmiàn ba.<br>Let's arrange a time to meet.,type::verb lesson::lesson11 frequency::high topic::social hsk::2
"散步<br><span style=""font-size:0.55em;color:#666"">sànbù</span>",take a walk<br><br>晚饭后我们去散步。<br>Wǎnfàn hòu wǒmen qù sànbù.<br>After dinner we go for a walk.,type::verb lesson::lesson11 frequency::high topic::activities hsk::1 grammar::separable
"聊天儿<br><span style=""font-size:0.55em;color:#666"">liáotiānr</span>",chat<br><br>朋友一起聊天儿很开心。<br>Péngyou yìqǐ liáotiānr hěn kāixīn.<br>Chatting with friends is very happy.,type::verb lesson::lesson11 frequency::high topic::social hsk::2 grammar::separable
"或者<br><span style=""font-size:0.55em;color:#666"">huòzhě</span>",or; either...or...<br><br>喝茶或者咖啡都可以。<br>Hē chá huòzhě kāfēi dōu kěyǐ.<br>Drinking tea or coffee is fine.,type::conjunction lesson::lesson11 frequency::high topic::grammar hsk::2
"骑车<br><span style=""font-size:0.55em;color:#666"">qí chē</span>",ride a bike<br><br>我每天骑车上班。<br>Wǒ měitiān qí chē shàngbān.<br>I ride a bike to work every day.,type::verb_phrase lesson::lesson11 frequency::high topic::transport hsk::1
"运动<br><span style=""font-size:0.55em;color:#666"">yùndòng</span>",do exercise<br><br>你每天运动吗？<br>Nǐ měitiān yùndòng ma?<br>Do you exercise every day?,type::verb type::noun lesson::lesson11 frequency::high topic::sports hsk::1
"放松<br><span style=""font-size:0.55em;color:#666"">fàngsōng</span>",relax<br><br>听音乐可以放松心情。<br>Tīng yīnyuè kěyǐ fàngsōng xīnqíng.<br>Listening to music can relax your mood.,type::verb lesson::lesson11 frequency::high topic::feelings hsk::2
"可能<br><span style=""font-size:0.55em;color:#666"">kěnéng</span>",probably; maybe<br><br>他可能不来了。<br>Tā kěnéng bù lái le.<br>He probably isn't coming.,type::adverb lesson::lesson11 frequency::high topic::grammar hsk::2
"如果<br><span style=""font-size:0.55em;color:#666"">rúguǒ</span>","if<br><br>如果明天下雨，我们就不去公园。<br>Rúguǒ míngtiān xià yǔ, wǒmen jiù bú qù gōngyuán.<br>If it rains tomorrow, we won't go to the park.",type::conjunction lesson::lesson11 frequency::high topic::grammar hsk::2
"只<br><span style=""font-size:0.55em;color:#666"">zhǐ</span>",only<br><br>我只买了一个。<br>Wǒ zhǐ mǎi le yí ge.<br>I only bought one.,type::adverb lesson::lesson11 frequency::high topic::grammar hsk::2
"上网<br><span style=""font-size:0.55em;color:#666"">shàngwǎng</span>",get onto the Internet<br><br>我每天晚上上网看视频。<br>Wǒ měitiān wǎnshang shàngwǎng kàn shìpín.<br>I go online every night to watch videos.,type::verb lesson::lesson11 frequency::high topic::internet hsk::1 grammar::separable
"不过<br><span style=""font-size:0.55em;color:#666"">búguò</span>","but; however<br><br>我喜欢吃辣，不过不能吃太多。<br>Wǒ xǐhuan chī là, búguò bùnéng chī tài duō.<br>I like spicy food, but I can't eat too much.",type::conjunction lesson::lesson11 frequency::high topic::grammar hsk::2
"刮风<br><span style=""font-size:0.55em;color:#666"">guā fēng</span>",windy<br><br>今天刮风。<br>Jīntiān guā fēng.<br>It's windy today.,type::verb_phrase lesson::lesson11 frequency::high topic::weather hsk::2 grammar::separable
"阴天<br><span style=""font-size:0.55em;color:#666"">yīntiān</span>",cloudy day<br><br>明天是阴天。<br>Míngtiān shì yīntiān.<br>Tomorrow will be cloudy.,type::noun lesson::lesson11 frequency::high topic::weather hsk::2
"跑步<br><span style=""font-size:0.55em;color:#666"">pǎobù</span>",run<br><br>我每天早上跑步。<br>Wǒ měitiān zǎoshang pǎobù.<br>I run every morning.,type::verb lesson::lesson11 frequency::high topic::sports hsk::2
"打篮球<br><span style=""font-size:0.55em;color:#666"">dǎ lánqiú</span>",play basketball<br><br>我周末打篮球。<br>Wǒ zhōumò dǎ lánqiú.<br>I play basketball on weekends.,type::verb_phrase lesson::lesson11 frequency::high topic::sports hsk::2
"踢足球<br><span style=""font-size:0.55em;color:#666"">tī zúqiú</span>",play football<br><br>他喜欢踢足球。<br>Tā xǐhuan tī zúqiú.<br>He likes playing football.,type::verb_phrase lesson::lesson11 frequency::high topic::sports hsk::2
"看电视<br><span style=""font-size:0.55em;color:#666"">kàn diànshì</span>",watch TV<br><br>晚上我喜欢看电视。<br>Wǎnshang wǒ xǐhuan kàn diànshì.<br>I like watching TV at night.,type::verb_phrase lesson::lesson11 frequency::high topic::activities hsk::1
"玩游戏<br><span style=""font-size:0.55em;color:#666"">wán yóuxì</span>",play games<br><br>他喜欢玩游戏。<br>Tā xǐhuan wán yóuxì.<br>He likes playing games.,type::verb_phrase lesson::lesson11 frequency::high topic::activities hsk::1
"圣诞节<br><span style=""font-size:0.55em;color:#666"">Shèngdànjié</span>",Christmas (Day)<br><br>圣诞节快乐！<br>Shèngdànjié kuàilè!<br>Merry Christmas!,type::noun lesson::lesson11 frequency::medium topic::holidays hsk::2
"教室<br><span style=""font-size:0.55em;color:#666"">jiàoshì</span>",classroom<br><br>教室里面有什么？<br>Jiàoshì lǐmiàn yǒu shénme?<br>What's inside the classroom?,type::noun lesson::lesson12 frequency::high topic::classroom hsk::1
"里面<br><span style=""font-size:0.55em;color:#666"">lǐmiàn</span>","inside<br><br>教室里面有桌子、椅子和电脑。<br>Jiàoshì lǐmiàn yǒu zhuōzi, yǐzi hé diànnǎo.<br>Inside the classroom there are desks, chairs and computers.",type::noun lesson::lesson12 frequency::high topic::location hsk::1
"桌子<br><span style=""font-size:0.55em;color:#666"">zhuōzi</span>",desk<br><br>教室里面有桌子。<br>Jiàoshì lǐmiàn yǒu zhuōzi.<br>There are desks in the classroom.,type::noun lesson::lesson12 frequency::high topic::furniture hsk::1
"椅子<br><span style=""font-size:0.55em;color:#666"">yǐzi</span>",chair<br><br>教室里面有椅子。<br>Jiàoshì lǐmiàn yǒu yǐzi.<br>There are chairs in the classroom.,type::noun lesson::lesson12 frequency::high topic::furniture hsk::1
"前面<br><span style=""font-size:0.55em;color:#666"">qiánmiàn</span>",front<br><br>教室前面是一块黑板。<br>Jiàoshì qiánmiàn shì yī kuài hēibǎn.<br>In front of the classroom there's a blackboard.,type::noun lesson::lesson12 frequency::high topic::location hsk::1
"块<br><span style=""font-size:0.55em;color:#666"">kuài</span>",piece<br><br>教室前面是一块黑板。<br>Jiàoshì qiánmiàn shì yī kuài hēibǎn.<br>In front of the classroom there's a blackboard.,type::measure lesson::lesson12 frequency::high topic::grammar hsk::1
"黑板<br><span style=""font-size:0.55em;color:#666"">hēibǎn</span>",blackboard<br><br>老师在黑板上写字。<br>Lǎoshī zài hēibǎn shàng xiě zì.<br>The teacher writes on the blackboard.,type::noun lesson::lesson12 frequency::high topic::classroom hsk::1
"地图<br><span style=""font-size:0.55em;color:#666"">dìtú</span>",map<br><br>墙上有一张世界地图。<br>Qiáng shàng yǒu yī zhāng shìjiè dìtú.<br>There's a world map on the wall.,type::noun lesson::lesson12 frequency::high topic::classroom hsk::2
"后面<br><span style=""font-size:0.55em;color:#666"">hòumiàn</span>",back<br><br>我坐在教室后面。<br>Wǒ zuò zài jiàoshì hòumiàn.<br>I sit at the back of the classroom.,type::noun lesson::lesson12 frequency::high topic::location hsk::1
"墙<br><span style=""font-size:0.55em;color:#666"">qiáng</span>",wall<br><br>墙上有一张地图。<br>Qiáng shàng yǒu yī zhāng dìtú.<br>There's a map on the wall.,type::noun lesson::lesson12 frequency::high topic::classroom hsk::2
"上面<br><span style=""font-size:0.55em;color:#666"">shàngmiàn</span>",surface of an object<br><br>桌子上面有一本书。<br>Zhuōzi shàngmiàn yǒu yī běn shū.<br>There's a book on the desk.,type::noun lesson::lesson12 frequency::high topic::location hsk::1
"笔<br><span style=""font-size:0.55em;color:#666"">bǐ</span>",pen<br><br>我的笔在桌子上。<br>Wǒ de bǐ zài zhuōzi shàng.<br>My pen is on the desk.,type::noun lesson::lesson12 frequency::high topic::classroom hsk::1
"本子<br><span style=""font-size:0.55em;color:#666"">běnzi</span>",notebook<br><br>请拿出你的本子。<br>Qǐng ná chū nǐ de běnzi.<br>Please take out your notebook.,type::noun lesson::lesson12 frequency::high topic::classroom hsk::2
"本<br><span style=""font-size:0.55em;color:#666"">běn</span>",[used for books]<br><br>这本书很有意思。<br>Zhè běn shū hěn yǒuyìsi.<br>This book is very interesting.,type::measure lesson::lesson12 frequency::high topic::grammar hsk::1
"楼<br><span style=""font-size:0.55em;color:#666"">lóu</span>",floor<br><br>教室在三楼。<br>Jiàoshì zài sān lóu.<br>The classroom is on the third floor.,type::noun lesson::lesson12 frequency::high topic::buildings hsk::2
"旁边<br><span style=""font-size:0.55em;color:#666"">pángbiān</span>",side<br><br>椅子在桌子旁边。<br>Yǐzi zài zhuōzi pángbiān.<br>The chair is next to the desk.,type::noun lesson::lesson12 frequency::high topic::location hsk::1
"台<br><span style=""font-size:0.55em;color:#666"">tái</span>","[used for certain machinery, apparatus, etc]<br><br>教室里有一台电脑。<br>Jiàoshì lǐ yǒu yī tái diànnǎo.<br>There's a computer in the classroom.",type::measure lesson::lesson12 frequency::high topic::grammar hsk::2
"张<br><span style=""font-size:0.55em;color:#666"">zhāng</span>","[used for tables, chairs, etc]<br><br>教室里有一张地图。<br>Jiàoshì lǐ yǒu yī zhāng dìtú.<br>There's a map in the classroom.",type::measure lesson::lesson12 frequency::high topic::grammar hsk::1
"世界<br><span style=""font-size:0.55em;color:#666"">shìjiè</span>",world<br><br>墙上有一张世界地图。<br>Qiáng shàng yǒu yī zhāng shìjiè dìtú.<br>There's a world map on the wall.,type::noun lesson::lesson12 frequency::high topic::geography hsk::2
"把<br><span style=""font-size:0.55em;color:#666"">bǎ</span>","[for sth in a bunch, or with a handle]<br><br>请借我一把笔。<br>Qǐng jiè wǒ yī bǎ bǐ.<br>Please lend me a pen.",type::measure lesson::lesson12 frequency::high topic::grammar hsk::2
"座位<br><span style=""font-size:0.55em;color:#666"">zuòwèi</span>",seat<br><br>这是我的座位。<br>Zhè shì wǒ de zuòwèi.<br>This is my seat.,type::noun lesson::lesson12 frequency::high topic::classroom hsk::2
"排<br><span style=""font-size:0.55em;color:#666"">pái</span>",row; line<br><br>我坐在第一排。<br>Wǒ zuò zài dì-yī pái.<br>I sit in the first row.,type::measure lesson::lesson12 frequency::high topic::classroom hsk::2
"对面<br><span style=""font-size:0.55em;color:#666"">duìmiàn</span>",opposite side<br><br>图书馆在食堂对面。<br>Túshūguǎn zài shítáng duìmiàn.<br>The library is opposite the dining hall.,type::noun lesson::lesson12 frequency::high topic::location hsk::2
"讲桌<br><span style=""font-size:0.55em;color:#666"">jiǎngzhuō</span>",lectern<br><br>老师站在讲桌前面。<br>Lǎoshī zhàn zài jiǎngzhuō qiánmiàn.<br>The teacher stands in front of the lectern.,type::noun lesson::lesson12 frequency::medium topic::classroom
"休息<br><span style=""font-size:0.55em;color:#666"">xiūxi</span>",have a rest<br><br>我们休息一下吧。<br>Wǒmen xiūxi yīxià ba.<br>Let's take a break.,type::verb lesson::lesson12 frequency::high topic::classroom hsk::1
